Site Occupation Location,Toponyms,SubOcc1,Start Date,End Date,Estimated Span,Area (ha)
3,Tell Hadidi,A,-3600,-3050,550,15.8
3,Tell Hadidi,A,-3050,-2000,1050,49
3,Tell Hadidi,A,-2000,-1900,1150,12
3,Tell Hadidi,A,-1900,-1550,1500,22
3,Tell Hadidi,A,-1550,-1400,1650,49
3,Tell Hadidi,A,-1400,-1000,2050,1
4,Tell Mumbaqa,A,-3150,-2600,450,15.7
4,Tell Mumbaqa,B,-2500,-1200,1850,15.7
5,Selenkahiye,A,-2500,-2400,650,10
5,Selenkahiye,A,-2400,-2000,1050,12
6,Halawa,A,-3600,-2600,450,0.7
6,Halawa,A,-2600,-1600,1000,15
7,Tell es-Sweyhat,A,-3150,-3100,50,5
7,Tell es-Sweyhat,A,-3100,-2700,400,6
7,Tell es-Sweyhat,A,-2700,-2350,350,15
7,Tell es-Sweyhat,A,-2350,-2250,100,36
7,Tell es-Sweyhat,A,-2250,-1900,350,40
15,Titrish Hoyuk,A,-2600,-2400,200,43
15,Titrish Hoyuk,A,-2400,-2200,200,32
15,Titrish Hoyuk,A,-2200,-1600,600,5
17,Tell al-Hawa,A,-4000,-3000,1000,33
17,Tell al-Hawa,A,-3000,-2500,500,42
17,Tell al-Hawa,A,-2500,-1400,1100,60
17,Tell al-Hawa,A,-1400,-1000,400,16
18,Tell Beydar,A,-2900,-2400,500,24
18,Tell Beydar,B,-1600,-1200,400,45
19,Tell Brak,A,-4000,-3900,100,55
19,Tell Brak,A,-3900,-3200,700,130
19,Tell Brak,A,-3200,-3000,200,33
19,Tell Brak,A,-3000,-2600,400,45
19,Tell Brak,A,-2600,-1850,750,70
19,Tell Brak,A,-1850,-1500,350,10
19,Tell Brak,A,-1500,-1250,250,45
20,Tell Hamoukar,A,-4000,-3100,900,15.31
20,Tell Hamoukar,B,-2750,-2550,200,105
20,Tell Hamoukar,C,-2250,-2000,250,105
21,Tell Mozan,A,-2750,-2600,150,16
21,Tell Mozan,A,-2600,-1950,650,125
21,Tell Mozan,A,-1950,-1650,300,16
22,Tell Hariri / Mari,A,-2950,-1750,1200,57.8
23,Tell Leilan,A,-3200,-2600,600,15
23,Tell Leilan,A,-2600,-2000,600,90
23,Tell Leilan,B,-1900,-1700,200,90
24,Tell Chuera,A,-4000,-3600,400,1
24,Tell Chuera,B,-2800,-2600,200,5
24,Tell Chuera,B,-2600,-2300,300,90
24,Tell Chuera,B,-2300,-2150,150,5
25,Kasana / Kazane Hoyuk,A,-3800,-3100,700,10
25,Kasana / Kazane Hoyuk,A,-3100,-2700,400,6
25,Kasana / Kazane Hoyuk,A,-2700,-2000,700,100
25,Kasana / Kazane Hoyuk,A,-2000,-1400,600,32.5
27,Samsat,A,-4000,-2950,1050,10
27,Samsat,A,-2950,-1900,1050,5
28,Harran,A,-2600,-1350,1250,12
28,Harran,B,-1200,-1000,200,12
31,Beddayeh,A,-3000,-2100,900,10
32,Tell el-Banat / Bazi Complex,A,-2600,-2450,150,30
32,Tell el-Banat / Bazi Complex,A,-2450,-1200,1250,40
33,Emar / Tell Maskanah,A,-2550,-2000,550,1
33,Emar / Tell Maskanah,A,-2000,-1500,500,5
33,Emar / Tell Maskanah,A,-1500,-1000,500,37
34,Tell es-Seman (Tell as-Saman),A,-2500,-1600,900,15
35,Tell Bi'a,A,-3150,-2050,1100,36
35,Tell Bi'a,B,-1900,-1350,550,36
36,Umm el-Marra,A,-2800,-2250,550,23
36,Umm el-Marra,B,-1900,-1250,650,23
37,Tilbeshar,A,-3100,-2700,400,5
37,Tilbeshar,A,-2700,-2500,200,30
37,Tilbeshar,A,-2500,-2050,450,56
37,Tilbeshar,B,-1900,-1800,100,30
37,Tilbeshar,B,-1800,-1600,200,56
38,Carcemish,A,-3000,-2500,500,4
38,Carcemish,A,-2500,-1150,1350,40
38,Carcemish,A,-1150,-1000,150,95
39,Tell Sh'eirat,A,-2400,-2000,400,27
40,Tell es-Sour,A,-2400,-1800,600,16
40,Tell es-Sour,A,-1800,-1550,250,35
41,Tell Nebi Mend,A,-4000,-1000,3000,9
42,Tell Mishrife / Qatna,A,-2400,-2000,400,25
42,Tell Mishrife / Qatna,A,-2000,-1300,700,122
43,Tell al Rawda,A,-2500,-2150,350,19
44,Tell Hama,A,-4000,-1500,2500,10
44,Tell Hama,B,-1200,-1000,200,10
45,Tell Aacharne,A,-2000,-1650,350,71
46,Tell Qarqur,A,-2250,-1600,650,23
47,Tell Mardikh,A,-2400,-1600,800,57
48,Tell Afis,A,-4000,-1850,2150,1
48,Tell Afis,A,-1850,-1500,350,24
48,Tell Afis,A,-1500,-1000,500,1
49,Tell Atchana,A,-4000,-1900,2100,1
49,Tell Atchana,A,-1900,-1200,700,20
49,Tell Atchana,A,-1200,-1000,200,1
50,Tell Tayinat,A,-3500,-2500,1000,20
50,Tell Tayinat,A,-2500,-1900,600,35
50,Tell Tayinat,B,-1400,-1200,200,1
50,Tell Tayinat,B,-1200,-1000,200,20
51,Tall Ayu / Bsirin,A,-3500,-1000,2500,13.1
52,Tell Ahmed,A,-3000,-1600,1400,16.4
52,Tell Ahmed,B,-1100,-1000,100,16.4
54,Karatepe,A,-3500,-3000,500,1
54,Karatepe,A,-3000,-2500,500,5
54,Karatepe,A,-2500,-1900,600,1
54,Karatepe,A,-1900,-1600,300,11.8
54,Karatepe,A,-1600,-1000,600,1
55,Tell el-Agar,A,-2500,-1600,900,11
55,Tell el-Agar,B,-1200,-1000,200,11
56,Salba,A,-2000,-1600,400,10
57,Tell Qastoun,A,-2400,-1600,800,10.2
57,Tell Qastoun,B,-1200,-1000,200,10.2
68,Ain Dara,A,-1600,-1000,600,22
70,Tell Izhan,A,-3500,-1600,1900,15.6
72,Sourane  (= Soufane or Sourmane?),A,-3000,-1500,1500,5
73,Sqalbiye,A,-2000,-1100,900,14.3
74,Tell As ,A,-3000,-1000,2000,10.3
75,Tell et Tell,A,-3000,-1600,1400,17.5
79,Tell es Stfine / Nebi Noah,A,-3500,-2500,1000,22.6
79,Tell es Stfine / Nebi Noah,A,-2500,-1400,1100,45.3
79,Tell es Stfine / Nebi Noah,A,-1400,-1200,200,22.6
79,Tell es Stfine / Nebi Noah,A,-1200,-1000,200,45.3
80,Tell Tuqan,A,-2600,-2000,600,18.3
80,Tell Tuqan,A,-2000,-1150,850,24.8
80,Tell Tuqan,A,-1150,-1100,50,17.48
80,Tell Tuqan,A,-1100,-1050,50,13.82
80,Tell Tuqan,A,-1050,-1000,50,10.16
81,Tall an-Nasriyah,A,-3500,-2500,1000,5
81,Tall an-Nasriyah,A,-2500,-2100,400,10
81,Tall an-Nasriyah,A,-2100,-1600,500,30
82,Ras Shamra / Ugarit,A,-4000,-1900,2100,5
82,Ras Shamra / Ugarit,A,-1900,-1200,700,27
85,Tell Imar,A,-4000,-2000,2000,13.5
86,Tell Mabtuh Ghabi,A,-3900,-2000,1900,27
87,Tell Mabtuh Sharqi,A,-3000,-2000,1000,44
88,Tell Hamam Sharqi,A,-2300,-2000,300,11
89,Tell al-Maghr,A,-3000,-2000,1000,10
90,Tell Mu'azzar,A,-3000,-2000,1000,11
91,Tell Bogha Saghir,A,-3000,-2000,1000,18
92,Tell Sha'ir,A,-4000,-3900,100,14.6
92,Tell Sha'ir,B,-3100,-1900,1200,14.6
92,Tell Sha'ir,C,-1200,-1000,200,14.6
93,Tell Sahlan,A,-1800,-1600,200,10.5
95,Tell Barabra East,A,-4000,-1000,3000,25.6
97,Bandar Khan,A,-3500,-1600,1900,10.4
97,Bandar Khan,B,-1200,-1000,200,10.4
98,Tell Abu Shaikat,A,-2650,-2300,350,28
99,Tell Ghajar al-Kabir,A,-3500,-1000,2500,20.3
102,Tell Amouda ,A,-1350,-1000,350,10
103,Tall Hadjdji Badr,A,-3000,-2500,500,10.6
103,Tall Hadjdji Badr,B,-2000,-1550,450,11.6
104,Tell Cholma Foqani,A,-3500,-2200,1300,22
104,Tell Cholma Foqani,B,-1750,-1200,550,22
106,Tell Farfara,A,-2850,-2600,250,5
106,Tell Farfara,A,-2600,-2400,200,10
106,Tell Farfara,A,-2400,-2300,100,40
106,Tell Farfara,A,-2300,-2200,100,80
106,Tell Farfara,A,-2200,-1950,250,10
106,Tell Farfara,A,-1950,-1500,450,90
106,Tell Farfara,A,-1500,-1300,200,150
106,Tell Farfara,A,-1300,-1000,300,167
109,Tell Abu Khahraf / al Andalus,A,-4000,-3100,900,5
109,Tell Abu Khahraf / al Andalus,B,-2000,-1500,500,10
109,Tell Abu Khahraf / al Andalus,B,-1500,-1300,200,40
109,Tell Abu Khahraf / al Andalus,B,-1300,-1000,300,10
110,Tell Aarade,A,-4000,-3000,1000,2
110,Tell Aarade,A,-3000,-2500,500,7.4
110,Tell Aarade,A,-2500,-2000,500,6.6
110,Tell Aarade,A,-2000,-1600,400,12
110,Tell Aarade,A,-1600,-1400,200,6.6
110,Tell Aarade,A,-1400,-1000,400,12
123,Aleppo,A,-3000,-2000,1000,13.8
123,Aleppo,A,-2000,-1600,400,108
124,Khodr,A,-4000,-1000,3000,12.25
125,Dogir / Dougird,A,-3900,-1500,2400,16
126,Mohammed Diyab (55),A,-2750,-1950,800,50
126,Mohammed Diyab (55),A,-1950,-1900,50,10
126,Mohammed Diyab (55),A,-1900,-1600,300,35
126,Mohammed Diyab (55),A,-1600,-1000,600,5
127,Tell Aid,A,-2900,-2400,500,10
127,Tell Aid,A,-2400,-2200,200,20
127,Tell Aid,A,-2200,-1900,300,10
127,Tell Aid,A,-1900,-1600,300,20
127,Tell Aid,A,-1600,-1000,600,5
128,Lazzaga,A,-3900,-3100,800,5
128,Lazzaga,B,-2750,-2550,200,5
128,Lazzaga,B,-2550,-2250,300,19
128,Lazzaga,B,-2250,-1550,700,5
129,Tell Qarassa,A,-4000,-3500,500,5
129,Tell Qarassa,A,-3500,-3000,500,10.9
129,Tell Qarassa,A,-3000,-1650,1350,6
129,Tell Qarassa,B,-1200,-1000,200,6
131,Hamidya,A,-2400,-1850,550,17
131,Hamidya,B,-1500,-1350,150,97.5
132,Tell Taya,A,-2350,-1950,400,155
133,Tell Arbid,A,-2900,-2150,750,50
133,Tell Arbid,A,-2150,-2100,50,27
133,Tell Arbid,A,-2100,-2050,50,12
133,Tell Arbid,A,-2050,-2000,50,5
133,Tell Arbid,A,-2000,-1500,500,1
136,Chagar Bazar,A,-3100,-1850,1250,15
136,Chagar Bazar,A,-1850,-1500,350,12
137,Khirbat al-'Abd,A,-3900,-3300,600,0.9
137,Khirbat al-'Abd,B,-2000,-1500,500,10.4
137,Khirbat al-'Abd,B,-1500,-1150,350,16
137,Khirbat al-'Abd,B,-1150,-1000,150,1.74
138,Tell Madjal,A,-3000,-2000,1000,17.7
138,Tell Madjal,B,-1550,-1000,550,1
139,Talul al-Debah / Dumdum,A,-2550,-2350,200,5
139,Talul al-Debah / Dumdum,A,-2350,-2150,200,10
139,Talul al-Debah / Dumdum,B,-1900,-1700,200,27.5
139,Talul al-Debah / Dumdum,B,-1700,-1000,700,10
142,Tell Barri,A,-4000,-2900,1100,1
142,Tell Barri,A,-2900,-1950,950,7
142,Tell Barri,A,-1950,-1650,300,9.25
142,Tell Barri,B,-1600,-1400,200,37
142,Tell Barri,B,-1400,-1000,400,18.5
148,Tell al-Samir,A,-3100,-2500,600,10
148,Tell al-Samir,A,-2500,-1500,1000,19
150,Kharaba Tibn or Tell Abu Hajar,A,-2550,-2000,550,17.2
150,Kharaba Tibn or Tell Abu Hajar,A,-2000,-1400,600,18.6
150,Kharaba Tibn or Tell Abu Hajar,A,-1400,-1000,400,4.2
151,Tell Talab,A,-4000,-3900,100,5
151,Tell Talab,A,-3900,-2550,1350,14.8
151,Tell Talab,A,-2550,-2000,550,7.5
151,Tell Talab,A,-2000,-1500,500,10
161,Tell Hadhail,A,-2500,-1450,1050,90
162,Tell Khoshi,A,-2500,-1000,1500,92
163,Tell ar-Rimah,A,-2000,-1000,1000,33
165,Tell Sharisi,A,-2700,-1200,1500,98
187,Nineveh,A,-4000,-3800,200,5
187,Nineveh,A,-3800,-3700,100,10
187,Nineveh,A,-3700,-3600,100,20
187,Nineveh,A,-3600,-3500,100,30
187,Nineveh,A,-3500,-1000,2500,40
190,Abu Kula,A,-3100,-2550,550,8
190,Abu Kula,A,-2550,-1500,1050,10
191,Tall al-Shaykh 'Ali,A,-3500,-1200,2300,24
193,Al-Hirbat al-Garbiyya,A,-2500,-2100,400,22
193,Al-Hirbat al-Garbiyya,B,-1800,-1600,200,22
194,Tall Stib,A,-2500,-1600,900,23.7
194,Tall Stib,B,-1200,-1000,200,23.7
195,Abu Harba,A,-2500,-1600,900,10.6
196,Tall Halawa 1 and 2,A,-3000,-2500,500,27.5
196,Tall Halawa 1 and 2,A,-2500,-1800,700,3.4
196,Tall Halawa 1 and 2,B,-1200,-1000,200,30.9
197,Rajm al-Sawan,A,-2500,-1200,1300,12
199,Rasm al-Hammam,A,-2500,-2050,450,10
199,Rasm al-Hammam,B,-1600,-1200,400,10
200,Tell Abu-Maria,A,-3500,-2450,1050,16
200,Tell Abu-Maria,B,-2000,-1450,550,16
203,Ashara,A,-3000,-1200,1800,9.8
204,Tell Habuba Kabira and Habuba Kabira South,A,-3200,-2000,1200,18
207,Tell al-Sabkha,A,-3500,-1250,2250,19.2
208,Tell as-Sus,A,-2400,-1000,1400,12.4
211,Tell Berne,A,-4000,-2000,2000,15
213,Tell Fekheriye,A,-1500,-1400,100,5
213,Tell Fekheriye,A,-1400,-1000,400,14.9
215,Tell Marrak,A,-2900,-1600,1300,18
216,Koberlik,A,-2900,-2000,900,25.4
216,Koberlik,B,-1200,-1000,200,25.4
217,Tell Matin,A,-2900,-2000,900,63
217,Tell Matin,B,-1200,-1000,200,63
218,Tell Glai'a,A,-3000,-2000,1000,16
220,Tell Mahalt ad Daru,A,-3000,-2000,1000,33
221,Agilah,A,-1900,-1650,250,31.87901
222,Tell Khansir,A,-2450,-2000,450,33
224,Tell Sha'ir,A,-3000,-2000,1000,18
225,Tell Zhamamak,A,-3000,-2000,1000,18
226,Msherifa,A,-3000,-2000,1000,13.7
227,Tell Dakhliz,A,-3000,-2000,1000,50.39753
229,Tell Hammam Gharbi,A,-2600,-2250,350,11
231,Basorin Hoyuk,A,-2000,-1200,800,10.6
232,Nervan Hoyuk,A,-2000,-1600,400,15
237,Oylum Hoyuk,A,-4000,-3500,500,18
237,Oylum Hoyuk,A,-3500,-2500,1000,13.6
237,Oylum Hoyuk,A,-2500,-1800,700,18
237,Oylum Hoyuk,A,-1800,-1000,800,13.6
239,Trafawi,A,-2900,-2250,650,10
240,Tuenan,A,-2900,-2250,650,12
241,Tiladir Tepe,A,-2500,-1500,1000,12.2
242,Horum Hoyuk,A,-2600,-1950,650,12
244,Tell Aamourine,A,-3000,-2000,1000,22
244,Tell Aamourine,B,-1100,-1000,100,22
245,Tell Dades,A,-2000,-1200,800,15
246,Tell Kufaifa,A,-3000,-2000,1000,34.2
